Category,Name,Price,Stars,Subcategory,Best Seller
Face,Melon Melt Niacinamide Serum Primer,$8.49,4.9,Primer,1
Face,Good Grip Hydrating Primer,$9.99,4.9,Primer,1
Face,Pore No More Primer,$7.99,4.8,Primer,1
Face,Lock'd In Setting Spray,$6.49,4.8,Setting Spray,1
Face,Good Grip Hydrating Prime & Set Spray,$6.49,4.8,Setting Spray,1
Face,Glow Bloom Liquid Highlighter-Vanilla Frost,$5.99,4.7,Highlighter,1
Face,Pore Eraser Blurring Stick,$4.99,4.7,Primer,1
Face,Hydro-Touch Refreshing Setting Powder,$7.49,5.0,Powder,1
Face,Buttery Bliss Blush Stick-Guava Juice,$5.99,0.0,Blush,1
Face,Glacier Glo Smoothing Primer,$8.49,4.8,Primer,1
Face,Harry Potter™ X SHEGLAM Happee Birthdae Harry Blush,$7.99,5.0,Blush,1
Face,Color Bloom Liquid Blush-Pink Slip,$5.99,4.9,Blush,1
Face,Rick and Morty X SHEGLAM Pickle Rick Setting Spray,$7.49,4.9,Setting Spray,1
Face,Good Grip Hydrating Primer-Blueberry + AHA,$9.99,4.7,Primer,1
Face,Press Refresh Setting Spray,$6.49,4.6,Setting Spray,1
Face,Matte Fresh Setting Spray,$6.49,4.4,Setting Spray,1
Face,Triple Threat Correcting Primer,$7.99,4.8,Primer,1
Face,Big N' Bright Eye Pencil-White,$2.84,4.8,Highlighter,1
Face,Color Bloom Liquid Blush-Hot Topic,$5.99,4.8,Blush,1
Face,Sun Sculpt Liquid Contour-Hazelnut Latte,$5.99,4.9,Contour & Bronzer,1
Face,Insta-Ready Face & Under Eye Setting Powder Duo-Taro,$8.49,4.8,Powder,1
Face,Harry Potter™ X SHEGLAM Golden Snitch Highlighter,$7.99,4.4,Highlighter,1
Face,Glowin' Up Skin Stick-Soft Tan,$5.99,4.6,Contour & Bronzer,1
Face,Go Go Glow Highlighting Body Mist-Gold,$7.99,4.8,Highlighter,1
Face,Hello Kitty｜SHEGLAM Bow-Utiful Highlighting Body Mist-Kitty Glow,$9.99,0.0,Highlighter,0
